name,calories,fat,proteins,carbohydrate,Meal Type,Carb_Level,Protein_Level,Nutrient_Density
Oncom Goreng ,0.3597029702970297,0.193,0.1102857142857142,0.0622874806800618,4,High-Carb,High-Protein,-0.0567878219897221
Opak Singkong ,0.9306930693069309,0.42,0.2057142857142857,0.160741885625966,1,High-Carb,High-Protein,-0.05753107323400189
Anak sapi daging sedang segar,0.1881188118811881,0.12,0.1091428571428571,0.0,3,Low-Carb,High-Protein,-0.05771397891892432
Daging Anak Sapi,0.1881188118811881,0.12,0.1091428571428571,0.0,3,Low-Carb,High-Protein,-0.05771397891892432
Kaparende sayur,0.0376237623762376,0.02,0.0137142857142857,0.0040185471406491,3,Low-Carb,Low-Protein,-0.060257314648106804
Chicken teriyaki masakan,0.1663366336633663,0.096,0.0742857142857142,0.0115919629057187,3,Low-Carb,High-Protein,-0.06085407484545935
Ikan Mas goreng,0.1861386138613861,0.122,0.1102857142857142,0.0,3,Low-Carb,High-Protein,-0.06293279260270283
orange juice sainsburys,0.0138613861386138,0.0008799999999999,0.0,0.0,2,Low-Carb,Low-Protein,-0.06348113457528441
Gulai tiram masakan,0.1306930693069307,0.072,0.0514285714285714,0.0120556414219474,3,Low-Carb,High-Protein,-0.06515817584256363
Pundut nasi,0.1029702970297029,0.0409999999999999,0.0108571428571428,0.0233384853168469,1,Low-Carb,Low-Protein,-0.06608027695375562
Kue lumpur,0.2881188118811881,0.111,0.0205714285714285,0.0681607418856259,0,High-Carb,Low-Protein,-0.07728670027081712
Lapis legit,0.3851485148514851,0.157,0.0377142857142857,0.0857805255023183,4,High-Carb,High-Protein,-0.08699268074195995
Mi basah,0.0871287128712871,0.033,0.0034285714285714,0.0216383307573415,3,Low-Carb,Low-Protein,-0.09104928218696555
Jagung Sayur (tumis) ,0.1474257425742574,0.104,0.0594285714285714,0.0310664605873261,1,High-Carb,High-Protein,-0.09160460136531992
yogurt,0.091089108910891,0.049,0.0297142857142857,0.0108191653786707,0,Low-Carb,High-Protein,-0.09294696217045931
Mie basah,0.0851485148514851,0.033,0.0034285714285714,0.0216383307573415,1,Low-Carb,Low-Protein,-0.09316668248696125
Kue sus,0.2188118811881188,0.102,0.0428571428571428,0.0383307573415765,0,High-Carb,High-Protein,-0.09511368658131246
